id,chapter,verse,reference,sanskrit,hindi,english
12,2,47,Bhagavad Gita 2.47,"कर्मण्येवाधिकारस्ते मा फलेषु कदाचन | मा कर्मफलहेतुर्भूर्मा ते सङ्गोऽस्त्वकर्मणि |","तुम्हारा अधिकार केवल कर्म करने में है, उसके फलों में कभी नहीं। कर्म के फल की इच्छा मत रखो और न ही अकर्मण्यता में आसक्त हो।","You have a right to perform your duties, but not to the results. Focus on right effort without attachment to outcomes."
13,2,48,Bhagavad Gita 2.48,"योगस्थः कुरु कर्माणि सङ्गं त्यक्त्वा धनञ्जय | सिद्ध्यसिद्ध्योः समो भूत्वा समत्वं योग उच्यते |","सफलता और असफलता में समान भाव रखकर कर्तव्य कर्म करो। मन की यह समता ही योग कहलाती है।","Perform duty with mental balance, remaining equal in success and failure. Equanimity of mind is called Yoga."
14,2,50,Bhagavad Gita 2.50,"बुद्धियुक्तो जहातीह उभे सुकृतदुष्कृते | तस्माद्योगाय युज्यस्व योगः कर्मसु कौशलम् |","समत्व-बुद्धि से युक्त मनुष्य शुभ और अशुभ दोनों कर्मबंधनों से मुक्त हो जाता है। कर्मों में यह कुशलता ही योग है।","Wisdom frees a person from binding reactions. Mastery in action comes through equanimity and detachment."
15,2,62,Bhagavad Gita 2.62,"ध्यायतो विषयान्पुंसः सङ्गस्तेषूपजायते | सङ्गात्सञ्जायते कामः कामात्क्रोधोऽभिजायते |","विषयों का निरंतर चिंतन करने से उनमें आसक्ति पैदा होती है। आसक्ति से कामना और कामना में बाधा आने पर क्रोध उत्पन्न होता है।","Contemplating sense objects breeds attachment, attachment breeds desire, and blocked desire turns into anger."
16,2,63,Bhagavad Gita 2.63,"क्रोधाद्भवति सम्मोहः सम्मोहात्स्मृतिविभ्रमः | स्मृतिभ्रंशाद्बुद्धिनाशो बुद्धिनाशात्प्रणश्यति |","क्रोध से सम्मोह होता है, सम्मोह से स्मृति भ्रमित होती है, स्मृतिभ्रंश से बुद्धि का नाश होता है और बुद्धिनाश से मनुष्य का पतन हो जाता है।","Anger leads to delusion, delusion confuses memory, lost memory destroys reasoning, and loss of reason leads to ruin."
17,2,70,Bhagavad Gita 2.70,"आपूर्यमाणमचलप्रतिष्ठं समुद्रमापः प्रविशन्ति यद्वत् | तद्वत्कामा यं प्रविशन्ति सर्वे स शान्तिमाप्नोति न कामकामी |","जैसे नदियां समुद्र में गिरती हैं पर समुद्र शांत रहता है, वैसे ही जिस मनुष्य में इच्छाएं बिना विचलित किए समा जाती हैं, वही शांति पाता है।","Like rivers entering an unchanging ocean, desires may enter a stable mind without disturbing its peace."
18,3,9,Bhagavad Gita 3.9,"यज्ञार्थात्कर्मणोऽन्यत्र लोकोऽयं कर्मबन्धनः | तदर्थं कर्म कौन्तेय मुक्तसङ्गः समाचर |","सेवा और समर्पण भाव (यज्ञ) के बिना किए गए कर्म बंधन पैदा करते हैं। इसलिए आसक्ति छोड़कर समष्टि के हित के लिए कर्म करो।","Actions performed without a spirit of service or sacrifice cause bondage. Act selflessly for the common good."
19,3,19,Bhagavad Gita 3.19,"तस्मादसक्तः सततम् कार्यम् कर्म समाचर | असक्तो ह्याचरन्कर्म परमाप्नोति पूरुषः |","बिना आसक्ति के निरंतर अपना कर्तव्य कर्म करते रहो। आसक्तिरहित होकर कर्म करने से मनुष्य परम सत्य को प्राप्त करता है।","Perform required duties consistently without attachment. Selfless work leads to ultimate spiritual realization."
20,3,21,Bhagavad Gita 3.21,"यद्यदाचरति श्रेष्ठस्तत्तदेवेतरो जनः | स यत्प्रमाणं कुरुते लोकस्तदनुवर्तते |","श्रेष्ठ पुरुष जैसा आचरण करते हैं, अन्य लोग भी वैसा ही करते हैं। वे जो प्रमाण प्रस्तुत करते हैं, पूरा समाज उसका अनुसरण करता है।","Whatever actions prominent people perform, common people follow. Leadership sets the benchmark for society."
21,3,27,Bhagavad Gita 3.27,"प्रकृतेः क्रियमाणानि गुणैः कर्माणि सर्वशः | अहंकारविमूढात्मा कर्ताहमिति मन्यते |","सारे कर्म प्रकृति के गुणों द्वारा किए जाते हैं, परंतु अहंकार से मोहित व्यक्ति सोचता है कि 'मैं कर्ता हूँ'।","Actions are executed by the forces of nature, but an ego-driven person falsely believes 'I am the sole doer.'"
22,3,30,Bhagavad Gita 3.30,"मयि सर्वाणि कर्माणि सन्न्यस्याध्यात्मचेतसा | निराशीर्निर्ममो भूत्वा युध्यस्व विगतज्वरः |","अपने सभी कर्मों को ईश्वर को समर्पित करो। कामना, ममता और संताप से रहित होकर अपना कर्तव्य युद्ध करो।","Offer all actions with a spiritual perspective. Act without self-centered desire, ownership, or inner fever."
23,3,35,Bhagavad Gita 3.35,"श्रेयान्स्वधर्मो विगुणः परधर्मात्स्वनुष्ठितात् | स्वधर्मे निधनं श्रेयः परधर्मो भयावहः |","दूसरों के धर्म का अच्छी तरह पालन करने की अपेक्षा अपना धर्म (कर्तव्य) गुणहीन होने पर भी श्रेष्ठ है। अपने कर्तव्य में मृत्यु भी कल्याणकारी है।","Performing one's own natural duty, even imperfectly, is better than attempting another's duty perfectly."
24,4,7,Bhagavad Gita 4.7,"यदा यदा हि धर्मस्य ग्लानिर्भवति भारत | अभ्युत्थानमधर्मस्य तदात्मानं सृजाम्यहम् |","जब-जब धर्म की हानि और अधर्म की वृद्धि होती है, तब-तब मैं स्वयं की सृष्टि करता हूँ (प्रकट होता हूँ)।","Whenever righteousness declines and unrighteousness prevails, the divine principle manifests in the world."
25,4,8,Bhagavad Gita 4.8,"परित्राणाय साधूनाम् विनाशाय च दुष्कृताम् | धर्मसंस्थापनार्थाय सम्भवामि युगे युगे |","सज्जनों के उद्धार, दुष्टों के विनाश और धर्म की पुनः स्थापना के लिए मैं युग-युग में प्रकट होता हूँ।","To protect the virtuous, transform evil forces, and re-establish cosmic order, divinity manifests age after age."
26,4,18,Bhagavad Gita 4.18,"कर्मण्यकर्म यः पश्येदकर्मणि च कर्म यः | स बुद्धिमान्मनुष्येषु स युक्तः कृत्स्नकर्मकृत् |","जो कर्म में अकर्म (आसक्तिरहितता) और अकर्म में कर्म (आंतरिक क्रियाशीलता) देखता है, वही मनुष्यों में बुद्धिमान और योगी है।","One who perceives inaction in action and action in inaction possesses deep clarity and true skill in work."
27,4,24,Bhagavad Gita 4.24,"ब्रह्मार्पणं ब्रह्म हविर्ब्रह्माग्नौ ब्रह्मणा हुतम् | ब्रह्मैव तेन गन्तव्यं ब्रह्मकर्मसमाधिना |","अर्पण ब्रह्म है, हविष्य ब्रह्म है, अग्नि ब्रह्म है और आहुति देने वाला भी ब्रह्म है। इस प्रकार कर्म में ब्रह्मभाव रखने वाला ब्रह्म को ही प्राप्त होता है।","The offering, the sacrifice, the fire, and the practitioner are all expressions of the Supreme Reality."
28,4,34,Bhagavad Gita 4.34,"तद्विद्धि प्रणिपातेन परिप्रश्नेन सेवया | उपदेक्ष्यन्ति ते ज्ञानं ज्ञानिनस्तत्त्वदर्शिनः |","नम्रता से प्रणाम करके, उत्तर की जिज्ञासा से प्रश्न करके और सेवा करके उस ज्ञान को जानो। तत्त्वदर्शी ज्ञानी तुम्हें ज्ञान का उपदेश देंगे।","Learn truth through humble inquiry, service, and reverence toward those who have realized the ultimate reality."
29,4,38,Bhagavad Gita 4.38,"न हि ज्ञानेन सदृशं पवित्रमिह विद्यते | तत्स्वयं योगसंसिद्धः कालेनात्मनि विन्दति |","इस संसार में ज्ञान के समान पवित्र करने वाला कुछ भी नहीं है। योग में सिद्ध हुआ व्यक्ति समय आने पर स्वयं अपने अंदर इस ज्ञान को पाता है।","There is nothing in this world as purifying as self-knowledge. Mature practice reveals it naturally within over time."
30,4,39,Bhagavad Gita 4.39,"श्रद्धावांल्लभते ज्ञानं तत्परः संयतेन्द्रियः | ज्ञानं लब्ध्वा परां शान्तिमचिरेणाधिगच्छति |","श्रद्धावान्, तत्पर और संयमित इंद्रियों वाला मनुष्य ज्ञान प्राप्त करता है। ज्ञान प्राप्त करके वह शीघ्र ही परम शांति को पाता है।","A faithful, dedicated person with self-control attains knowledge, and through knowledge soon reaches supreme peace."
31,5,10,Bhagavad Gita 5.10,"ब्रह्मण्याधाय कर्माणि सङ्गं त्यक्त्वा करोति यः | लिप्यते न स पापेन पद्मपत्रमिवाम्भसा |","जो व्यक्ति फल की आसक्ति छोड़कर सभी कर्म ईश्वर को समर्पित करता है, वह पाप से वैसे ही अलिप्त रहता है जैसे कमल का पत्ता जल से।","One who performs duties without attachment, offering them to the Divine, remains untouched by negativity like a lotus leaf in water."
32,5,18,Bhagavad Gita 5.18,"विद्याविनयसम्पन्ने ब्राह्मणे गवि हस्तिनि | शुनि चैव श्वपाके च पण्डिताः समदर्शिनः |","ज्ञानी पुरुष विद्या और विनय से युक्त विद्वान, गाय, हाथी, कुत्ते और चंडाल में भी एक समान आत्मतत्त्व देखते हैं।","Wise people look with equal vision upon a learned scholar, a cow, an elephant, a dog, and an outcast."
33,6,5,Bhagavad Gita 6.5,"उद्धरेदात्मनात्मानं नात्मानमवसन्नयेत् | आत्मैव ह्यात्मनो बन्धुरात्मैव रिपुरात्मनः |","अपने द्वारा अपना उद्धार करो, अपना पतन मत होने दो। क्योंकि मनुष्य स्वयं ही अपना मित्र है और स्वयं ही अपना शत्रु है।","Elevate yourself through your own mind; do not degrade yourself. The mind can be your greatest friend or your worst enemy."
34,6,6,Bhagavad Gita 6.6,"बन्धुरात्मात्मनस्तस्य येनात्मैवात्मना जितः | अनात्मनस्तु शत्रुत्वे वर्तेतात्मैव शत्रुवत् |","जिसने अपने मन को जीत लिया है, उसका मन ही उसका मित्र है। परंतु जो मन को नहीं जीत पाया, उसका मन ही शत्रु की तरह आचरण करता है।","For one who has mastered the mind, it is the best friend. But for one who has not, the mind acts as an internal enemy."
35,6,17,Bhagavad Gita 6.17,"युक्ताहारविहारस्य युक्तचेष्टस्य कर्मसु | युक्तस्वप्नावबोधस्य योगो भवति दुःखहा |","जिसका आहार-विहार संतुलित है, कर्मों में चेष्टा संतुलित है, तथा सोना और जागना संतुलित है, उसका योग दुखों का नाश करने वाला होता है।","Yoga reduces all sorrow for one who is balanced in eating, recreation, work, sleep, and wakefulness."
36,6,26,Bhagavad Gita 6.26,"यतो यतो निश्चरति मनश्चञ्चलमस्थिरम् | ततस्ततो नियम्यैतदात्मन्येव वशं नयेत् |","यह चंचल और अस्थिर मन जहाँ-जहाँ भटक कर जाता है, वहाँ-वहाँ से इसे रोककर बार-बार आत्मा के वश में लाना चाहिए।","Whenever the restless and unsteady mind wanders away, gently bring it back under self-awareness."
37,7,7,Bhagavad Gita 7.7,"मत्तः परतरं नान्यत्किञ्चिदस्ति धनञ्जय | मयि सर्वमिदं प्रोतं सूत्रे मणिगणा इव |","हे धनंजय! मुझसे परे दूसरा कुछ भी नहीं है। यह सम्पूर्ण जगत् मुझमें पिरोया हुआ है, जैसे धागे में मणियां पिरोई होती हैं।","There is nothing superior to the Divine consciousness. Everything is strung on it like pearls on a thread."
38,7,16,Bhagavad Gita 7.16,"चतुर्विधा भजन्ते मां जनाः सुकृतिनोऽर्जुन | आर्तो जिज्ञासुरर्थार्थी ज्ञानी च भरतर्षभ |","चार प्रकार के भक्त मेरा भजन करते हैं: आर्त (दुखी), जिज्ञासु (ज्ञान चाहने वाला), अर्थार्थी (धन चाहने वाला), और ज्ञानी।","Four kinds of virtuous people seek spiritual wisdom: the distressed, the seeker of truth, the seeker of wealth, and the wise."
39,9,22,Bhagavad Gita 9.22,"अनन्याश्चिन्तयन्तो मां ये जनाः पर्युपासते | तेषां नित्याभियुक्तानां योगक्षेमं वहाम्यहम् |","जो अनन्य भाव से मेरा चिंतन करते हुए मेरी उपासना करते हैं, उन नित्य-युक्त भक्तों का योग (प्राप्ति) और क्षेम (रक्षण) मैं स्वयं वहन करता हूँ।","For those who focus on divinity with unwavering devotion, their essential needs and protection are cared for."
40,9,26,Bhagavad Gita 9.26,"पत्रं पुष्पं फलं तोयं यो मे भक्त्या प्रयच्छति | तदहं भक्त्युपहृतमश्नामि प्रयतात्मनः |","जो प्रेम से मुझे एक पत्ता, फूल, फल या जल भी अर्पित करता है, उस शुद्धचित्त भक्त का वह प्रेमपूर्वक दिया उपहार मैं स्वीकार करता हूँ।","If one offers even a leaf, flower, fruit, or water with pure love and devotion, it is accepted with joy."
41,9,27,Bhagavad Gita 9.27,"यत्करोषि यदश्नासि यज्जुहोषि ददासि यत् | यत्तपस्यसि कौन्तेय तत्कुरुष्व मदर्पणम् |","तुम जो भी करते हो, जो खाते हो, जो हवन करते हो, जो दान देते हो और जो तप करते हो, वह सब मुझे अर्पित कर दो।","Whatever you do, eat, offer in sacrifice, give away, or practice as discipline, offer it as a dedication to the Divine."
42,10,20,Bhagavad Gita 10.20,"अहमात्मा गुडाकेश सर्वभूताशयस्थितः | अहमादिश्च मध्यं च भूतानामन्त एव च |","हे अर्जुन! मैं सभी प्राणियों के हृदय में स्थित आत्मा हूँ। मैं ही प्राणियों का आदि, मध्य और अंत हूँ।","I am the Soul seated in the hearts of all living beings. I am their beginning, middle, and end."
43,11,33,Bhagavad Gita 11.33,"तस्मात्त्वमुत्तिष्ठ यशो लभस्व जित्वा शत्रून्भुङ्क्ष्व राज्यं समृद्धम् | मयैवैते निहताः पूर्वमेव निमित्तमात्रं भव सव्यसाचिन् |","इसलिए तुम उठो, यश प्राप्त करो और शत्रुओं को जीतकर समृद्ध राज्य का भोग करो। ये सब पहले ही मेरे द्वारा मारे जा चुके हैं, तुम केवल निमित्तमात्र बनो।","Stand up, conquer your obstacles, and claim your duty. The ultimate orchestrator is cosmos itself; be an instrument of right action."
44,12,13,Bhagavad Gita 12.13,"अद्वेष्टा सर्वभूतानां मैत्रः करुण एव च | निर्ममो निरहङ्कारः समदुःखसुखः क्षमी |","जो किसी प्राणी से द्वेष नहीं रखता, मित्रवत और दयालु है, ममता और अहंकार से रहित है, दुख-सुख में सम और क्षमावान है, वह भक्त मुझे प्रिय है।","One who is free from malice, friendly, compassionate, detached, humble, balanced in pleasure and pain, and forgiving is dear to divinity."
45,13,28,Bhagavad Gita 13.28,"समं पश्यन्हि सर्वत्र समवस्थितमीश्वरम् | न हिनस्त्यात्मनात्मानं ततो याति परां गतिम् |","जो सब प्राणियों में परमेश्वर को समान रूप से स्थित देखता है, वह अपने द्वारा अपना विनाश नहीं करता और परम गति को प्राप्त होता है।","One who sees the same divine presence existing equally in all beings acts with reverence and reaches the highest goal."
46,14,22,Bhagavad Gita 14.22,"प्रकाशं च प्रवृत्तिं च मोहमेव च पाण्डव | न द्वेष्टि सम्प्रवृत्तानि न निवृत्तानि काङ्क्षति |","जो प्रकाश (सत्त्व), प्रवृत्ति (रजस्) और मोह (तमस्) के प्रकट होने पर द्वेष नहीं करता और शांत होने पर उनकी इच्छा नहीं करता, वह गुणातीत है।","One who neither hates clarity, activity, or delusion when present, nor craves them when absent, transcends nature's modes."
47,15,7,Bhagavad Gita 15.7,"ममैवांशो जीवलोके जीवभूतः सनातनः | मनःषष्ठानीन्द्रियाणि प्रकृतिस्थानि कर्षति |","इस जीवलोक में सनातन आत्मा मेरा ही अंश है। वही प्रकृति में स्थित मन और पाँचों इंद्रियों को आकर्षित करता है।","An eternal spark of the divine consciousness dwells in every living being, interacting with the mind and senses."
48,16,21,Bhagavad Gita 16.21,"त्रिविधं नरकस्येदं द्वारं नाशनमात्मनः | कामः क्रोधस्तथा लोभस्तस्मादेतत्त्रयं त्यजेत् |","काम, क्रोध और लोभ—ये तीन प्रकार के द्वार आत्मा का नाश करने वाले नरक के द्वार हैं। इसलिए इन तीनों का त्याग कर देना चाहिए।","Desire, anger, and greed are three destructive doors to inner ruin. Therefore, one should master and transcend them."
49,17,23,Bhagavad Gita 17.23,"ॐ तत्सदिति निर्देशो ब्रह्मणस्त्रिविधः स्मृतः | ब्राह्मणास्तेन वेदाश्च यज्ञाश्च विहिताः पुरा |","'ॐ तत् सत्'—यह ब्रह्म का त्रिविध नाम कहा गया है। इसी से प्राचीन काल में ज्ञान, वेद और यज्ञों की रचना हुई थी।","'Om Tat Sat' represents the threefold designation of the Ultimate Reality, sanctifying all noble endeavors."
50,18,66,Bhagavad Gita 18.66,"सर्वधर्मान्परित्यज्य मामेकं शरणं व्रज | अहं त्वा सर्वपापेभ्यो मोक्षयिष्यामि मा शुचः |","सब धर्मों (उपाधियों/सहारा) को छोड़कर केवल मेरी शरण में आओ। मैं तुम्हें सभी पापों/बंधनों से मुक्त कर दूंगा, तुम शोक मत करो।","Surrender all limited concepts and take refuge in pure supreme consciousness. I shall free you from all bondage; do not fear."
